Type,Dedicated Graphic Memory Capacity,SSD,RAM (in GB),Expandable Memory,Touchscreen,Screen Size (in inch),screen_resolution,Storage,CPU_ranking,gpu_benchmark,ram_type_tokenized,Price(RM),Refresh_Rate
1,4.0,1,8,1,0,15.6,1080,1000,187,59.9,4,3574.45,2
2,0.0,1,8,1,0,15.6,1080,256,674,5.05,4,1814.94,1
2,0.0,1,8,1,0,15.6,1080,256,579,102.0,4,1704.45,1
2,0.0,1,16,1,0,13.4,1080,512,108,17.5,6,8230.48,1
3,0.0,1,16,0,1,14.0,1080,512,24,102.0,4,5457.04,1
1,4.0,1,16,0,0,15.6,1080,1024,110,72.6,4,4563.9,1
4,0.0,1,8,0,0,15.6,1080,256,330,102.0,4,2032.2,1
1,4.0,1,32,1,1,13.4,1080,1000,48,59.9,6,7149.45,2
1,8.0,1,16,1,0,15.6,1080,1000,61,154.0,4,8704.85,2
4,0.0,1,8,0,0,15.6,1080,256,362,5.05,4,2639.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
2,0.0,1,16,0,0,14.0,1440,512,108,17.5,6,3574.45,1
1,4.0,1,16,1,0,15.6,1080,512,61,59.0,4,5719.45,2
1,4.0,1,8,0,0,15.6,1080,512,87,72.6,4,3821.95,2
4,0.0,1,4,0,0,14.1,1080,128,745,5.05,4,1209.45,1
1,4.0,1,16,0,0,15.6,1080,512,64,72.6,4,4965.95,2
2,0.0,1,8,1,0,15.6,1080,512,362,5.05,4,2254.45,1
1,4.0,1,16,0,0,15.6,1080,512,87,72.6,4,4069.45,2
2,0.0,1,8,0,0,14.0,1080,512,330,10.6,4,2474.45,1
3,0.0,1,8,0,1,14.0,1080,256,362,5.05,6,2749.45,1
2,0.0,0,8,0,0,15.6,1080,1000,187,5.05,4,2364.45,1
4,0.0,1,4,0,0,11.6,720,128,745,5.05,4,1374.94,1
4,0.0,1,4,0,1,11.6,720,128,745,5.05,4,1649.45,1
2,0.0,1,16,0,0,15.6,1080,512,64,102.0,4,3574.45,1
3,0.0,1,8,0,1,14.0,1080,512,108,17.5,6,3519.45,1
2,0.0,1,16,0,0,15.6,1080,512,64,102.0,4,3574.45,1
2,0.0,1,4,0,0,15.6,720,256,767,5.05,4,1484.45,1
3,0.0,1,8,0,1,14.0,1080,512,362,5.05,6,2914.45,1
2,0.0,1,8,0,0,15.6,1080,512,540,5.05,4,2144.45,1
2,0.0,1,16,0,0,14.0,1080,512,75,10.9,4,2914.45,1
2,0.0,0,8,0,0,15.6,720,1000,362,5.05,4,1924.45,1
2,0.0,1,8,0,0,15.6,1080,1256,362,5.05,4,2254.45,1
2,0.0,1,8,0,0,15.6,1080,512,87,102.0,4,3409.45,1
4,6.0,1,32,0,0,15.6,2160,1000,45,132.0,4,11450.45,1
2,0.0,0,4,0,1,14.0,720,64,767,5.05,5,1511.95,1
2,0.0,0,4,0,1,14.0,720,64,745,5.05,5,1511.95,1
2,4.0,1,16,0,1,15.6,2160,1000,61,72.6,4,8975.45,1
2,0.0,1,8,1,0,14.0,1080,512,87,102.0,4,3024.45,1
2,0.0,1,8,1,0,15.6,1080,512,87,102.0,4,3310.45,1
2,0.0,1,8,1,0,15.6,1080,512,87,102.0,4,3310.45,1
2,0.0,1,8,1,0,14.0,1080,512,87,102.0,4,3024.45,1
2,4.0,1,16,0,1,15.6,2160,1000,61,72.6,4,8975.45,1
2,0.0,1,8,1,0,15.6,1080,512,362,5.05,4,2447.45,1
4,0.0,1,16,0,0,15.6,1080,512,75,10.9,4,3018.95,1
4,0.0,1,4,0,0,15.6,1080,256,362,4.23,4,1979.34,1
1,4.0,1,8,0,0,15.6,1080,512,108,72.6,4,4014.45,1
2,0.0,1,8,0,1,14.0,1080,512,362,5.05,4,3079.45,1
4,0.0,0,8,0,0,14.0,1080,128,590,6.0,6,2144.45,1
1,4.0,1,16,1,0,15.6,1080,512,64,59.9,4,4289.45,1
1,4.0,1,8,0,0,15.6,1080,512,87,72.6,4,3849.45,1
3,0.0,1,8,0,1,14.0,1080,512,362,5.05,4,3244.45,1
2,0.0,1,4,0,0,11.6,720,256,745,5.05,4,1319.45,1
2,0.0,1,16,0,1,14.0,1080,512,61,17.5,4,4839.45,1
3,0.0,1,8,0,1,14.0,1080,512,87,102.0,4,3189.45,1
2,0.0,1,8,0,0,14.0,1080,512,362,5.05,4,2364.45,1
2,0.0,1,16,0,1,14.0,1080,512,108,17.5,4,4135.45,1
3,0.0,1,16,0,1,14.0,1080,512,61,17.5,4,5499.45,1
2,0.0,1,8,1,0,15.6,1080,512,180,83.3,4,2573.45,1
2,0.0,1,8,1,0,15.6,1080,512,540,5.05,4,2254.45,1
2,0.0,1,8,1,0,14.0,1080,512,362,5.05,4,2364.45,1
2,0.0,1,8,1,0,15.6,1080,512,560,102.0,4,2254.45,1
2,0.0,1,8,0,0,15.6,1080,1256,540,5.05,4,2254.45,1
4,6.0,1,16,0,0,16.1,1080,1000,38,132.0,7,8551.95,1
4,0.0,1,4,0,0,14.0,720,256,540,5.05,4,2144.45,2
1,4.0,1,16,1,0,16.1,1080,512,64,59.0,4,5746.95,1
1,0.0,1,16,1,0,16.1,1080,1000,64,70.2,4,6902.5,1
4,0.0,0,8,0,0,15.6,720,1000,362,4.23,4,2238.45,1
4,0.0,0,8,0,0,15.6,720,1000,560,102.0,4,2089.45,1
1,4.0,1,8,1,0,15.6,1080,512,64,72.6,4,4619.45,2
1,4.0,1,8,1,0,15.6,1080,512,187,59.9,4,3409.23,2
4,0.0,1,8,0,0,15.6,1080,512,362,4.23,4,2375.95,1
1,4.0,1,16,1,0,14.0,1440,1000,64,72.6,4,6324.45,1
1,6.0,1,16,1,0,17.3,1080,1000,64,132.0,7,7369.45,2
2,0.0,1,8,0,0,14.0,720,256,745,5.05,4,1814.45,1
3,0.0,1,16,0,1,13.3,1080,512,64,102.0,4,4399.89,1
3,0.0,0,4,0,1,13.3,1080,256,676,4.23,4,2975.5,1
1,4.0,1,16,0,0,17.3,1080,516,61,72.6,4,5279.45,1
4,0.0,1,8,0,0,15.6,720,512,108,4.23,4,4908.8,1
1,8.0,1,16,0,0,15.6,1440,1000,38,168.0,7,14299.45,1
1,8.0,1,16,0,0,15.6,1440,1000,38,154.0,4,9899.45,1
2,0.0,0,4,0,0,14.0,1080,128,590,6.0,6,2034.45,1
1,6.0,1,16,1,0,15.6,1080,1000,45,132.0,4,7974.45,2
4,0.0,0,4,0,0,14.0,720,1000,187,4.23,4,2612.45,1
1,4.0,1,16,1,0,16.1,1080,1000,61,59.0,4,6544.45,1
1,4.0,1,16,1,0,16.1,1080,1000,61,72.6,4,6434.45,1
4,0.0,0,4,0,0,15.6,720,1000,873,5.05,4,1646.7,1
1,4.0,1,8,1,0,15.6,1080,512,61,72.6,4,4784.45,2
4,0.0,1,8,0,0,15.6,1080,512,330,102.0,4,2880.9,1
4,0.0,1,8,0,0,14.0,1080,512,540,4.23,4,2942.44,1
2,0.0,1,8,0,0,15.6,1080,256,362,5.05,4,2694.45,1
2,0.0,0,4,0,0,11.6,720,128,745,1.53,4,1474.0,1
4,0.0,1,8,0,0,15.6,1080,256,362,4.23,4,2574.0,1
2,0.0,1,16,0,0,15.6,1080,512,87,102.0,4,3409.45,1
2,0.0,1,16,0,0,15.6,1080,512,87,102.0,4,3409.45,1
2,0.0,0,4,0,0,11.6,720,64,745,1.53,4,1209.45,1
2,0.0,0,8,0,0,15.6,1080,1000,540,5.05,4,1759.45,1
2,0.0,0,4,0,0,11.6,720,64,745,1.53,4,1209.45,1
2,0.0,1,8,0,0,14.0,720,256,674,4.23,4,1759.45,1
2,2.0,1,16,0,1,14.0,1080,512,108,33.8,6,6324.45,1
1,4.0,1,16,0,0,15.6,1080,1000,64,72.6,7,6324.45,1
1,16.0,1,32,1,0,15.6,1440,1000,4,233.0,7,16609.45,1
1,4.0,1,16,0,0,15.6,1080,512,64,72.6,7,6269.45,1
2,0.128,1,16,0,0,14.0,1080,512,97,10.6,6,2804.45,1
1,4.0,1,16,1,0,15.6,1080,512,64,72.6,7,5994.45,1
1,4.0,1,16,1,0,15.6,1080,1000,64,72.6,7,6324.45,1
2,0.128,1,16,0,0,14.0,1080,512,97,10.6,6,2804.45,1
1,16.0,1,32,1,0,15.6,1440,2000,4,168.0,7,14574.45,1
